"likesCount","timestamp","commentsCount","videoViewCount","videoDuration"
"791071","2020-05-03T15:21:22.000Z","2097","6096157","14.4"
"1221472","2020-07-21T15:32:01.000Z","6139","8335939","21.633"
"908104","2020-04-15T19:23:13.000Z","3562","7530745","12.833"
"1132069","2020-04-27T14:20:18.000Z","4789","9483811","10.966"
"1128716","2020-05-27T15:41:10.000Z","5028","11218568","28"
"356774","2020-05-01T14:50:42.000Z","2454","4247703","30.4"
"436913","2020-04-14T21:32:27.000Z","838","3974466","47.3"
"931011","2020-05-21T15:06:19.000Z","5619","7152333","17.3"
"1158250","2020-04-03T21:00:17.000Z","8031","7095494","19.533"
"1175602","2020-05-07T14:41:50.000Z","3688","9408442","16.9"
"1172351","2020-02-07T16:29:19.000Z","3096","9885912","16.1"
"786498","2020-03-17T14:43:31.000Z","2857","6586376","13.733"
"999738","2020-02-29T17:10:35.000Z","3262","7564659","11.933"
"1372019","2020-02-26T16:24:44.000Z","5517","11195490","21.6"
"796278","2020-02-12T00:44:07.000Z","1869","7823173","13.833"
"1038244","2020-02-21T15:11:04.000Z","5214","7699885","14.966"
"920220","2020-03-25T15:42:21.000Z","4524","7953752","13.966"
"1022519","2020-03-17T01:56:02.000Z","1904",,
"678099","2020-10-03T13:48:09.000Z","2672","4423342","42.866"
"861886","2020-03-18T15:05:22.000Z","2780","6534333","24"
"1505502","2020-08-24T15:30:46.000Z","4214","11921382","15"
"769599","2020-02-16T16:16:54.000Z","1499","7538028","16.933"
"1178239","2020-03-07T18:10:02.000Z","8628","6867259","33.066"
"1531880","2020-02-14T15:16:08.000Z","3676","11220794","14.766"
"669003","2020-07-02T14:55:47.000Z","1796","5354901","19.766"
"1036059","2019-12-22T14:43:14.000Z","2742","8958206","31.9"
"671828","2020-02-04T18:35:10.000Z","1388","6452094","13.466"
"998367","2019-12-25T16:30:43.000Z","1755",,
"1548898","2020-01-10T14:07:29.000Z","7009","13369500","19.366"
"1121682","2020-01-13T15:17:00.000Z","5335","9296607","26.866"
"755020","2019-12-17T16:55:28.000Z","1357","8394502","12.633"
"1158214","2019-12-31T16:21:48.000Z","2801","9322202","58.933"
"1410770","2020-01-06T14:37:36.000Z","6277","9077163","21.166"
"644560","2019-12-24T16:11:01.000Z","1581","6786981","14.466"
"1175449","2020-01-17T15:14:36.000Z","5588","9936756","11.5"
"760191","2019-11-05T15:55:29.000Z","2522","5228534","9.133"
"779320","2019-11-28T18:29:00.000Z","1784",,
"965647","2019-12-04T14:17:02.000Z","3095","9071158","22.633"
"787354","2019-11-15T14:25:10.000Z","4142","5075020","18.1"
"797236","2019-11-25T18:20:08.000Z","3007","6876437","17.166"
"861533","2020-01-22T18:24:16.000Z","2840","7244457","17.3"
"621185","2019-11-19T12:00:37.000Z","2120","5152683","21.666"
"699150","2019-11-23T14:05:50.000Z","1628","7691317","26"
"1755987","2019-12-09T18:19:17.000Z","13246","14699984","18.333"
